"","mz","rt","1405_Fish1_F1","1405_Fish1_F2","1405_Fish1_F3","1405_Fish2_F1","1405_Fish2_F2","1405_Fish2_F3","1405_Fish3_F1","1405_Fish3_F2","1405_Fish3_F3"
"group","mz","rt","fish1","fish1","fish1","fish2","fish2","fish2","fish3","fish3","fish3"
"M173.1335T611.4","173.133522417075","611.412","20732.1148985508","12137.7126760564","20916.4053013699","7866.57468493145","18990.071943662","8423.21978082193","19203.8516000001","24489.4659583333","26198.8705833333"
"M174.0392T216.7","174.03916930897","216.652","793.928571428571","211.694327906558","599.594941176471","716.43973449707","5565.51266666667","578.217128208705","5353.28571428571","1344.01518644068","7076.60115517242"
"M174.1363T611.4","174.136272593608","611.4135","2259.3649","1983.6396484375","2213.9333","1601.31325120192","1643.01737837837","1630.87591709235","1939.18875000001","2740.5891219512","2999.27918181817"
"M174.1489T337.4","174.148913040161","337.418","2015.29008219178","1421.35714285714","1665.48778666667","679.935439393941","2898.57953124999","1136.14285714286","1554.0272631579","2119.4809054054","3736.60379166667"
"M174.9383T216.2","174.938308045745","216.15","3347.09385185185","1473.04091666667","3689.73930188679","1036.10715517241","2276.32850943396","1499.20692307692","1773.88342222222","2898.97082352941","2786.35714285714"
"M174.9728T145.5","174.972844156278","145.538","1184.78571428571","708.428571428571","987.05335135135","657.315400222252","1027.94018644068","747.251407623291","1134","1139.60848780488","1155.67087272727"
"M174.9917T166.2","174.991662669753","166.25","2038.57029310345","713.152653769841","1736.91436507937","405.759292602539","965.407421875","232.690360655737","407.812899999999","1249.0146446281","315.233104477612"
"M175.0873T511.3","175.087257324967","511.294","1010.84605970149","1457.14329961521","1176.0703489389","787.687696202529","1381.10718446602","968.810719504285","1565.60168115941","1852.91013432836","1955.7018"
"M175.12T260.9","175.119960076431","260.872","4014.4819","3277.99906451613","7684.31588059702","4445.80296875","7673.28079104476","5619.54941935484","2487.0965625","4547.63323529413","9371.93863235296"
"M175.1481T614.4","175.148094705351","614.413","5226.57374999999","3199.78309677421","5406.59414864864","2338.04606060604","4686.27976119405","2398.76063768117","5095.42724999999","5957.24736842103","6994.99245205481"
"M175.1482T453.2","175.148206702548","453.178","3193.88311711711","2090.87579999999","3276.70439130434","1076.16297196262","3448.30271578947","2403.0639960402","3369.45129166666","3323.65550704226","3389.05971830985"
"M176.0305T167","176.030480474547","166.958","1660.78977272727","450.876852459017","1650.11","368.682668585526","808.113515625","426.9083105234","464.544268798828","965.570169302133","348.244561983471"
"M176.0418T212.9","176.041829410673","212.869","12468.7749166667","4047.61254545455","16087.0897083333","1737.42857142857","4328.69553125","2369.3787804878","1494.85714285714","5527.90761702128","2860.56934545455"
"M177.0914T574.3","177.091433337126","574.339","3455.92123529411","3197.31692452833","3041.22733333332","3146.8045079365","3194.52513043481","3158.49521311475","3272.53506666666","3264.85714285714","3939.90550000001"
"M177.164T639.3","177.164038300588","639.314","1492.38519999999","664.682575094289","1680.56558620691","669.497230769231","1603.45572972972","638.571428571429","1338.00867857142","1442.29076923077","1883.93564150944"
"M177.1636T594.3","177.163608624184","594.268","702.635865671643","602.149439569729","842.164593596957","272.368808373473","747.268514149225","439.957777898114","1793.63785714286","1333.97537593985","287.242200000007"
"M180.066T431.1","180.065997271092","431.106","1692.29120454546","1436.84205882353","1761.38051813299","902.062666666666","1862.9926904762","1164","4008.43723636365","1584.81488000001","5007.83321212119"
"M180.1027T553.3","180.102744892294","553.34","710.80545833333","972.051086425781","531","447.857142857143","869.36156463623","597.822390186543","438.435066666668","732.23203636364","1413.68212499999"
"M180.1751T416.3","180.175098350662","416.319","1104.18484","781.304654545455","563.34957824707","652.543500000002","683.397105263157","717.257104477612","1316.15772881356","1525.53280645161","1315.65379310345"
"M180.1752T611.8","180.175179332944","611.842","1699.33291666668","866.074008373504","1758.02604444445","546.67172565866","1451.52641860466","673.539649476396","1499.93953846154","1872.17828571428","1847.24765957447"
"M181.1597T615.1","181.159688597605","615.053","3406.30996825398","2155.2871763462","7050.07161290324","355.440749999988","6421.66801136363","1860.51181208053","6632.39895272726","4086.08564444444","8559.50777343751"
"M181.9871T147.9","181.987076291059","147.897","19437.5111082803","11669.0045522388","14978.9829207921","16230.4223653846","18716.5940266667","19105.8005925926","21022.2822335025","7311.76090909089","19570.278"
"M181.9872T48.8","181.987152735806","48.848","13962.0736","21630.597112069","25417.9397263158","15080.44446","12799.6896222222","11939.8490930233","32158.3322348485","13392.4928712871","12365.4518965517"
"M182.1625T614.6","182.162536161307","614.627","672.87583333333","481.122404734294","520.138448275861","246.86279296875","669.226398468018","407.154591878255","113.338249999996","907.120459459456","937.977421875002"
