"","mz","rt","GD_010_NIST_RPP_RRHD_B1.mzXML","GD_011_NIST_RPP_RRHD_B1.mzXML","GD_013_NIST_RPP_RRHD_B1.mzXML","GD_016_NIST_RPP_RRHD_B1.mzXML","GD_019_NIST_RPP_RRHD_B1.mzXML"
"group","mz","rt","NIST1950","NIST1950","NIST1950","NIST1950","NIST1950"
"M46.0643T453.6","46.064325650533","453.623114843058","171229.727023543","166872.223571515","100754.524252558","148465.640974224","137224.774066803"
"M46.0646T895.7","46.0645874023437","895.711911278715","332820.204071888","320472.241885628","287533.666765958","238484.050653989","229451.974882219"
"M49.0007T437.4","49.0006512861985","437.385811033384","262047.142986721","219544.548185839","175738.561021192","169991.735004514","82220.178055391"
"M51.9393T849.2","51.9393225583163","849.177715217123","93565.0052071467","90650.2104483147","80797.1444541258","31800.8193654989","28209.2028665667"
"M53.9384T975.6","53.9383656183879","975.63211743985","61433.2728305243","57942.7870463993","35606.6348103791","37555.3389932994","38636.4384809822"
"M54.9367T938.1","54.9366958618164","938.131840891643","8126.48900435199","5997.24880781176","7942.23400947102","4384.66856485941","5265.61709206861"
"M54.9463T957.3","54.9463243484497","957.274877352827","22860.1377934525","22667.0351006398","21163.5665656804","15024.8767416061","9908.06136865998"
"M55.0536T590.6","55.0536410013835","590.607340077213","20780031.4349349","20359981.3555672","18187749.4396157","16699032.3304642","15557773.5077804"
"M55.9337T291.5","55.9336669921875","291.52537248417","625565.113612735","567447.157825552","467908.12969299","354478.449845448","299275.228516269"
"M55.9336T944.5","55.9335842132568","944.48214039079","1168554.08420086","1099832.95445341","951095.763286342","782406.895243326","699425.899662226"
"M55.9447T644.4","55.9446835517883","644.419879935578","171307.757897977","168034.9880812","170961.694815654","143932.512273712","130718.398126191"
"M56.0491T42","56.0491207122803","41.9846652840175","18996.7988791599","15320.4436506743","14810.3047585171","11787.0038972266","10118.9873361883"
"M56.0571T600.4","56.057105255127","600.353330576071","402709.446257156","572527.585385379","356617.269161252","337717.481665082","405529.327932047"
"M56.0574T833.2","56.0573616027832","833.170929345381","366316.408468417","359849.641192372","320288.216476072","283781.23168526","273649.768374584"
"M56.9413T392.7","56.9413238525391","392.749167328649","97713.9299662385","98402.4897957616","163014.175309289","113338.907083401","91085.7007857684"
"M56.9415T946.1","56.9415245056152","946.093715394738","643429.899035884","583425.354414142","497621.566535616","382719.860885657","325977.012890765"
"M56.9643T981.1","56.9642947803844","981.111246770974","224351.076652481","204057.507432093","186560.075174296","170154.896737883","155291.90916789"
"M57.0326T618.7","57.0326211111886","618.682989815205","290520.362181728","270236.353273288","241785.782690933","174212.582832099","141541.254276713"
"M57.0692T605.9","57.0691899871826","605.928353130996","547750.696845461","478094.209144711","436283.151528485","361898.412260843","322772.782218167"
"M57.9343T635.4","57.934327732433","635.405944854535","3277931.66840277","3041109.15353957","2593255.2885594","2175031.46701784","1835877.73105195"
"M58.0643T35.4","58.0643028259277","35.362781090682","9676.10671982637","7768.07913255375","8306.13452961031","6126.64729820695","5938.37681148965"
"M58.9419T885.5","58.9419473012288","885.51725747164","60018.6801774021","26190.7532150764","8364.20261710769","76321.3411684294","7222.16785371318"
"M59.0485T710.1","59.0485358860182","710.094693249578","599657.547038686","547048.419447515","532158.073652256","436339.929193369","247220.63575832"
"M59.0593T852.8","59.0592975616455","852.806277698129","37599.9873361656","58601.3596084883","21919.887013825","46887.6741060956","33075.657777355"
"M59.0724T32","59.0724472045898","32.0095457425585","3435.80828961485","3051.34996622241","3789.42524654027","2539.31957447941","2367.69144104385"
"M59.9296T732.5","59.9295745425754","732.475971152087","1287839.71453193","1176125.77531258","1039663.63106348","794982.123856585","679403.398116938"
"M60.0437T78.2","60.0436725616455","78.1673875280151","553804.922848222","518979.294467442","446820.236209244","380260.269416186","352103.046122999"
